symbol,base_asset,quote_asset
ETHBTC,ETH,BTC
LTCBTC,LTC,BTC
BNBBTC,BNB,BTC
BTCUSDT,BTC,USDT
ETHUSDT,ETH,USDT
TRXBTC,TRX,BTC
XRPBTC,XRP,BTC
BNBUSDT,BNB,USDT
LTCUSDT,LTC,USDT
LTCBNB,LTC,BNB
XRPUSDT,XRP,USDT
XRPBNB,XRP,BNB
TRXBNB,TRX,BNB
TRXUSDT,TRX,USDT
NEOBTC,NEO,BTC
QTUMETH,QTUM,ETH
EOSETH,EOS,ETH
SNTETH,SNT,ETH
BNTETH,BNT,ETH
GASBTC,GAS,BTC
BNBETH,BNB,ETH
LRCBTC,LRC,BTC
LRCETH,LRC,ETH
QTUMBTC,QTUM,BTC
ZRXBTC,ZRX,BTC
KNCBTC,KNC,BTC
IOTABTC,IOTA,BTC
IOTAETH,IOTA,ETH
LINKBTC,LINK,BTC
LINKETH,LINK,ETH
XVGETH,XVG,ETH
MTLBTC,MTL,BTC
EOSBTC,EOS,BTC
SNTBTC,SNT,BTC
ETCETH,ETC,ETH
ETCBTC,ETC,BTC
ZECBTC,ZEC,BTC
ZECETH,ZEC,ETH
DASHBTC,DASH,BTC
DASHETH,DASH,ETH
OAXBTC,OAX,BTC
REQBTC,REQ,BTC
VIBBTC,VIB,BTC
TRXETH,TRX,ETH
POWRBTC,POWR,BTC
POWRETH,POWR,ETH
XRPETH,XRP,ETH
ENJBTC,ENJ,BTC
ENJETH,ENJ,ETH
STORJBTC,STORJ,BTC
KMDBTC,KMD,BTC
NULSBTC,NULS,BTC
BATBTC,BAT,BTC
NEOUSDT,NEO,USDT
LSKBTC,LSK,BTC
MANABTC,MANA,BTC
MANAETH,MANA,ETH
ADXBTC,ADX,BTC
ADXETH,ADX,ETH
ADABTC,ADA,BTC
ADAETH,ADA,ETH
XLMBTC,XLM,BTC
XLMETH,XLM,ETH
LTCETH,LTC,ETH
ICXBTC,ICX,BTC
ELFBTC,ELF,BTC
ELFETH,ELF,ETH
RLCBTC,RLC,BTC
RLCETH,RLC,ETH
PIVXBTC,PIVX,BTC
STEEMBTC,STEEM,BTC
STEEMETH,STEEM,ETH
